sis_id,Q1,Q1F
21070401,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21071643,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21074736,1.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21070528,1.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21068225,0.0,Q1: 0 (code error)
21057995,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21065654,1.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21075077,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21070731,0.0,Q1: 0 (code error)
21068017,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21069608,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21077794,1.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21049397,1.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21079264,0.0,Q1: 0 (code error)
21069530,1.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0 (Series are incompatible) "
21076924,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21077964,0.0,Q1: 0 (code error)
21077977,0.75,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0.75 (some seasonal values are incorrect)"
21076115,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21076427,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21076452,1.75,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21069118,1.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21073999,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21032070,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21078125,0.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0.00 (incorrect index)
Q1b: 0 (Series are incompatible) "
21077444,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21079856,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21079437,1.75,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21080370,1.75,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21080305,0.0,Q1: 0 (code error)
21079895,1.75,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21071792,1.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21073949,1.75,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21080962,0.0,Q1: 0 (code error)
21079257,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21079867,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21079960,1.75,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21070375,0.0,Q1: 0 (code error)
21073704,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21069702,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21081442,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21032189,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21081912,0.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0 (Series are incompatible) "
21043511,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21046814,1.75,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21081095,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21061766,1.75,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21061492,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21076039,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21076696,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21083834,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21071803,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21082921,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21078449,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21060799,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21078957,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21064790,1.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21065257,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21073802,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21080052,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21063192,0.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0 (Series are incompatible) "
21081185,0.0,No subsmission
21083875,1.75,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21084819,0.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (incorrect answer, you computed mean, not min)Q1b: 0 (incorrect answer, you computed mean, not min)"
21071658,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21001551,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21031682,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21069691,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21060336,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21083133,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21067973,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21076384,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21085095,0.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0 (Series are incompatible) "
21083870,0.75,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0.75 (some seasonal values are incorrect)"
21084603,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21032186,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21084824,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21059045,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21065799,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21067988,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21076003,1.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21063707,1.75,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21058791,1.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21082045,0.0,Q1: 0 (code error)
21082058,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21084757,0.75,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0.75 (some seasonal values are incorrect)"
21087723,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21076866,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21086849,0.0,Q1: 0 (code error)
21087019,0.0,No subsmission
21060249,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21071390,0.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0 (Series are incompatible) "
21078637,0.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0 (Series are incompatible) "
21087736,1.75,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21082185,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21083211,0.0,Q1: 0 (code error)
21082570,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21088776,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21085699,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21078631,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21087748,1.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21087866,0.0,Q1: 0 (code error)
21088470,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21089746,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21071843,0.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0 (Series are incompatible) "
21060940,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21080899,0.0,Q1: 0 (code error)
21071305,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21060794,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21062821,1.75,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21063319,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21069435,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21070709,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21066186,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21088775,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21078439,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21082757,1.75,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21088746,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21089866,0.0,Q1: 0 (code error)
21088796,0.0,No subsmission
21081467,1.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21088910,1.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21089475,1.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21066565,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21077565,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21082184,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21083353,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21088719,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21066576,0.0,Q1: 0 (code error)
21077839,1.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 0 (Series are incompatible) "
21087185,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21090449,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21090443,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21085657,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
17025391,0.0,Q1: 0 (code error)
21072112,0.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0 (Series are incompatible) "
21083517,0.0,Q1: 0 (code error)
21090446,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21060337,1.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21064263,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21074109,0.0,Q1: 0 (code error)
21090027,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21091274,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21082445,1.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21091107,1.75,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21085700,1.75,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21091112,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21090705,0.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0 (Series are incompatible) "
21091105,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21091116,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21091943,0.0,Q1: 0 (code error)
21078501,1.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0 (Series are incompatible) "
21080788,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21087187,0.0,Q1: 0 (code error)
21089713,1.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 0.00"
21073161,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21077309,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21079910,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21088050,1.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21069496,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21069497,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
21083183,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21069406,0.0,Q1: 0 (code error)
21085206,1.75,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21079825,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
22003064,1.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
22003118,1.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 0 (Series are incompatible) "
22002781,1.8,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b:0.80 (incorrect variable name)"
22007462,1.8,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b:0.80 (incorrect variable name)"
22007583,0.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0 (Series are incompatible) "
22008838,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
22008852,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
22009238,1.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 0 (Series are incompatible) "
22010011,0.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0 (Series are incompatible) "
22010044,1.8,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b:0.80 (incorrect variable name)"
22012098,1.8,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b:0.80 (incorrect variable name)"
22003331,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21081427,0.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0 (Series are incompatible) "
21060292,1.75,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0.75 (incorrect index)
Q1b: 1.00"
21079279,1.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
21084741,2.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21087223,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
22009171,1.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 1.00"
22014947,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
22015002,1.8,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b:0.80 (incorrect variable name)"
22011561,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
22012335,0.0,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 0 (incorrect answer, you computed mean, not max)Q1b: 0 (incorrect answer, you computed mean, not max)"
22014806,0.0,Q1: 0 (code error)
22014663,1.8,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b:0.80 (incorrect variable name)"
22014871,1.8,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b:0.80 (incorrect variable name)"
22014926,0.0,Q1: 0 (code error)
22014729,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
22014732,0.0,Q1: 0 (code error)
21060843,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21064285,0.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 0 (Series are incompatible) 
Q1b: 0 (Series are incompatible) "
22001288,0.0,Q1: 0 (code error)
22016255,1.8,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b:0.80 (incorrect variable name)"
21087845,2.0,"Q11: mean_monthly_temp & mean_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
21089120,1.8,"Q13: max_monthly_temp & mean_max_seasonal_temp

Q1a: 1.00
Q1b:0.80 (incorrect variable name)"
21094100,0.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 0 (incorrect answer, you computed max, not min)Q1b: 0 (incorrect answer, you computed max, not min)"
22008590,1.75,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 0.75 (some seasonal values are incorrect)"
22014268,0.0,Q1: 0 (code error)
22015028,0.0,No subsmission
21083402,0.0,Q1: 0 (code error)
22018255,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
22003565,2.0,"Q12: min_monthly_temp & mean_min_seasonal_temp

Q1a: 1.00
Q1b: 1.00"
